Id;Data;Hora;Hour;Type;Operador;Categoria;Classe;Adults;Children;Bebies;Local Recolha;GPS Recolha;Local Entrega;GPS Entrega;Duration;Distance;Price
AT037982;09/06/2024;10:06;10;;Alto da Colina;Interzone;Taxi 1 - 4 Pax;4;0;0;Alfagar;37.0903633, -8.2093686;Old Town - Albufeira;37.091608, -8.254527;00:07;4;8,00
AT037983;09/06/2024;10:15;10;;Alfagar Rece??o;Interzone;Taxi 5 - 8 Pax;2;3;0;Alfagar;37.0903633, -8.2093686;Old Town - Albufeira;37.091608, -8.254527;00:07;4;10,00
AT037984;09/06/2024;10:22;10;;Alto da Colina;Interzone;Taxi 1 - 4 Pax;2;2;0;Alto da Colina;37.0941384, -8.209068499999999;Old Town - Albufeira;37.091608, -8.254527;00:07;4;8,00
AT037966;09/06/2024;10:30;10;Partida;Alfagar Rece??o;Airport Transfer;Airport Transfer 4-8PAX;2;2;0;Alfagar;37.0903633, -8.2093686;Faro Airport;37.02305399999999, -7.970688;00:35;38;65,00
AT037987;09/06/2024;10:35;10;;Alfa Tours & Transfers;Interzone;Taxi 1 - 4 Pax;2;2;0;Old Town - Albufeira;37.091608, -8.254527;Alfagar;37.0903633, -8.2093686;00:07;4;8,00
AT037974;09/06/2024;10:40;10;;Alfa Tours & Transfers;Parques Tem?ticos;5 - 8 Pax;4;0;1;Alfagar;37.0903633,-8.2093686;Zoomarine-Guia;37.1274473,-8.313571399999999;00:19;13;30,00
AT037988;09/06/2024;10:41;10;;Alfa Tours & Transfers;Interzone;Taxi 1 - 4 Pax;2;0;0;Albufeira;37.089177, -8.2474406;Albufeira;37.089177, -8.2474406;00:00;1;6,00
AT037985;09/06/2024;10:45;10;;Alfagar Rece??o;Parques Tem?ticos;5 - 8 Pax;4;2;1;Alfagar;37.0903633, -8.2093686;Zoomarine-Guia;37.1274473, -8.313571399999999;00:19;13;30,00
AT037989;09/06/2024;11:00;11;;Alto da Colina;Interzone;Taxi 1 - 4 Pax;2;1;0;Alto da Colina;37.0941384, -8.209068499999999;Old Town - Albufeira;37.091608, -8.254527;00:07;4;8,00
AT037980;09/06/2024;11:00;11;;Alfa Tours & Transfers;Interzone;1 - 4 Pax;2;0;0;Albufeira;37.089177,-8.2474406;Alfagar;37.0903633,-8.2093686;00:09;4,4;12,00
AT037991;09/06/2024;11:21;11;Partida;Alfagar Rece??o;Airport Transfer;Airport Transfer 4-8PAX;7;0;0;Alfagar;37.0903633, -8.2093686;Faro Airport;37.02305399999999, -7.970688;00:35;38;65,00
AT037992;09/06/2024;11:21;11;Partida;Alfagar Rece??o;Airport Transfer;Airport Transfer 4-8PAX;6;0;0;Alfagar;37.0903633, -8.2093686;Faro Airport;37.02305399999999, -7.970688;00:35;38;65,00
AT037990;09/06/2024;11:25;11;;Alto da Colina;Interzone;Taxi 1 - 4 Pax;2;2;0;Alto da Colina;37.0941384,-8.209068499999999;Old Town - Albufeira;37.091608,-8.254527;00:07;4;8,00
AT037994;09/06/2024;12:09;12;;Alfagar Rece??o;Interzone;Taxi 1 - 4 Pax;3;0;1;Alto da Colina;37.0941384, -8.209068499999999;Old Town - Albufeira;37.091608, -8.254527;00:07;4;8,00
AT037995;09/06/2024;12:09;12;;Alfagar Rece??o;Interzone;Taxi 5 - 8 Pax;5;0;0;Alto da Colina;37.0941384, -8.209068499999999;Old Town - Albufeira;37.091608, -8.254527;00:07;4;10,00
AT037929;09/06/2024;12:30;12;;Ticket-SHOP;Interzone;1 - 4 Pax;2;0;1;Marina-Albufeira;37.0839339,-8.2708975;Alfagar;37.0903633,-8.2093686;00:15;9;15,00
AT037996;09/06/2024;12:30;12;;Alto da Colina;Interzone;1 - 4 Pax;3;0;0;Alto da Colina;37.0941384,-8.209068499999999;Cali?os - Autocarros Albufeira;37.1025735,-8.2497626;10:00;7;12,00
AT037997;09/06/2024;13:27;13;;Alfagar Rece??o;Interzone;1 - 4 Pax;2;1;0;Alfagar;37.0903633, -8.2093686;Marina-Albufeira;37.0839339, -8.2708975;00:15;9;15,00
AT037999;09/06/2024;14:00;14;;Alfa Tours & Transfers;Interzone;Taxi 1 - 4 Pax;4;0;0;Old Town - Albufeira;37.091608, -8.254527;Alfagar;37.0903633, -8.2093686;00:07;4;8,00
AT038004;09/06/2024;14:02;14;;Alfa Tours & Transfers;Interzone;Taxi 5 - 8 Pax;2;3;0;Old Town - Albufeira;37.091608, -8.254527;Alfagar;37.0903633, -8.2093686;00:07;4;10,00
AT037998;09/06/2024;14:15;14;Partida;Alfagar Rece??o;Airport Transfer;Airport Transfer 4-8PAX;8;0;0;Alfagar;37.0903633, -8.2093686;Faro Airport;37.02305399999999, -7.970688;00:35;38;65,00
AT037986;09/06/2024;15:00;15;;Alfagar Rece??o;Parques Tem?ticos;5 - 8 Pax;4;2;1;Zoomarine-Guia;37.1274473,-8.313571399999999;Alfagar;37.0903633,-8.2093686;00:19;13;30,00
AT038005;09/06/2024;15:03;15;;Alfagar Rece??o;Interzone;Taxi 5 - 8 Pax;5;0;0;Alfagar;37.0903633, -8.2093686;Oura - New Town;37.2500926, -8.398252800000002;00:05;2;8,00
AT038007;09/06/2024;15:35;15;;Alfagar Rece??o;Interzone;Taxi 1 - 4 Pax;4;0;0;Alfagar;37.0903633, -8.2093686;Old Town - Albufeira;37.091608, -8.254527;00:07;4;8,00
AT038006;09/06/2024;15:35;15;;Alfagar Rece??o;Interzone;Taxi 5 - 8 Pax;5;0;0;Alfagar;37.0903633, -8.2093686;Old Town - Albufeira;37.091608, -8.254527;00:07;4;10,00
AT038008;09/06/2024;15:36;15;;Alto da Colina;Interzone;Taxi 5 - 8 Pax;5;0;0;Alto da Colina;37.0941384, -8.209068499999999;Old Town - Albufeira;37.091608, -8.254527;00:07;4;10,00
AT038011;09/06/2024;15:50;15;;Alfa Tours & Transfers;Interzone;1 - 4 Pax;1;0;0;Alfagar;37.0903633,-8.2093686;Vilamoura-Marina;37.0779579,-8.1238116;00:25;20;10,00
AT038009;09/06/2024;15:53;15;;Alfagar Rece??o;Interzone;5 - 8 Pax;4;0;0;Alfagar;37.0903633,-8.2093686;Vilamoura-Marina;37.0779579,-8.1238116;00:25;20;40,00
AT038010;09/06/2024;15:57;15;;Alfagar Rece??o;Interzone;Taxi 1 - 4 Pax;3;0;0;Alfagar;37.0903633,-8.2093686;Oura - New Town;37.2500926,-8.398252800000002;00:05;2;6,00
AT038012;09/06/2024;16:05;16;;Alfagar Rece??o;Interzone;Taxi 1 - 4 Pax;3;0;0;Alfagar;37.0903633, -8.2093686;Old Town - Albufeira;37.091608, -8.254527;00:07;4;8,00
AT038013;09/06/2024;16:07;16;;Alfagar Rece??o;Interzone;Taxi 1 - 4 Pax;2;0;0;Alfagar;37.0903633, -8.2093686;Albufeira;37.089177, -8.2474406;00:08;4;6,00
AT038015;09/06/2024;16:18;16;;Alfagar Rece??o;Interzone;Taxi 5 - 8 Pax;2;2;1;Alfagar;37.0903633, -8.2093686;Old Town - Albufeira;37.091608, -8.254527;00:07;4;10,00
AT038014;09/06/2024;16:30;16;;Alto da Colina;Interzone;Taxi 1 - 4 Pax;2;0;0;Alto da Colina;37.0941384,-8.209068499999999;Oura - New Town;37.0863121,-8.2243912;00:05;2;8,00
AT038018;09/06/2024;16:36;16;;Alfagar Rece??o;Interzone;Taxi 1 - 4 Pax;2;0;0;Alfagar;37.0903633, -8.2093686;Old Town - Albufeira;37.091608, -8.254527;00:07;4;8,00
AT038019;09/06/2024;16:55;16;;Alto da Colina;Interzone;Taxi 1 - 4 Pax;2;2;0;Alto da Colina;37.0941384, -8.209068499999999;Old Town - Albufeira;37.091608, -8.254527;00:07;4;8,00
AT037975;09/06/2024;17:00;17;;Alfa Tours & Transfers;Parques Tem?ticos;5 - 8 Pax;4;0;1;Zoomarine-Guia;37.1274473,-8.313571399999999;Alfagar;37.0903633,-8.2093686;00:19;13;30,00
AT038016;09/06/2024;17:00;17;;Alfa Tours & Transfers;Interzone;Taxi 1 - 4 Pax;3;1;0;Alfagar;37.0903633,-8.2093686;Old Town - Albufeira;37.091608,-8.254527;00:07;4;8,00
AT037979;09/06/2024;17:00;17;;Alto da Colina;Parques Tem?ticos;1 - 4 Pax;2;1;1;Zoomarine-Guia;37.1274473, -8.313571399999999;Alto da Colina;37.0941384, -8.209068499999999;00:19;13;25,00
AT038023;09/06/2024;17:25;17;Partida;Alfagar Rece??o;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Alfagar;37.0903633, -8.2093686;Faro Airport;37.02305399999999, -7.970688;00:35;38;55,00
AT038025;09/06/2024;17:40;17;;Alfagar Rece??o;Interzone;Taxi 1 - 4 Pax;2;2;0;Alfagar;37.0903633, -8.2093686;Old Town - Albufeira;37.091608, -8.254527;00:07;4;8,00
AT038024;09/06/2024;18:00;18;;Alfa Tours & Transfers;Interzone;Taxi 1 - 4 Pax;3;1;0;Alto da Colina;37.0941384, -8.209068499999999;Old Town - Albufeira;37.091608, -8.254527;00:07;4;8,00
AT038026;09/06/2024;18:02;18;;Alto da Colina;Interzone;Taxi 1 - 4 Pax;2;2;0;Alto da Colina;37.0941384, -8.209068499999999;Old Town - Albufeira;37.091608, -8.254527;00:07;4;8,00
AT038027;09/06/2024;18:11;18;;Alto da Colina;Interzone;Taxi 1 - 4 Pax;4;0;0;Alto da Colina;37.0941384, -8.209068499999999;Old Town - Albufeira;37.091608, -8.254527;00:07;4;8,00
AT033499;09/06/2024;18:15;18;Chegada;Alfa Tours & Transfers;Airport Transfer;Airport Transfer 4-8PAX;2;1;1;Faro Airport;37.0222849,-7.963351899999999;Alfagar;37.0903633,-8.2093686;00:35;38;65,00
AT038028;09/06/2024;18:19;18;;Alfa Tours & Transfers;Interzone;Taxi 1 - 4 Pax;3;0;1;Alfagar;37.0903633, -8.2093686;Old Town - Albufeira;37.091608, -8.254527;00:07;4;8,00
AT038029;09/06/2024;18:29;18;;Alto da Colina;Interzone;Taxi 1 - 4 Pax;2;1;1;Alto da Colina;37.0941384, -8.209068499999999;Old Town - Albufeira;37.091608, -8.254527;00:07;4;8,00
AT038030;09/06/2024;18:37;18;;Alfagar Rece??o;Interzone;Taxi 1 - 4 Pax;2;1;0;Alfagar;37.0903633, -8.2093686;Old Town - Albufeira;37.091608, -8.254527;00:07;4;8,00
AT038031;09/06/2024;18:40;18;;Alto da Colina;Interzone;Taxi 1 - 4 Pax;3;0;0;Alto da Colina;37.0941384, -8.209068499999999;Old Town - Albufeira;37.091608, -8.254527;00:07;4;8,00
AT038032;09/06/2024;18:50;18;;Alfagar Rece??o;Interzone;Taxi 1 - 4 Pax;2;2;0;Alfagar;37.0903633, -8.2093686;Old Town - Albufeira;37.091608, -8.254527;00:07;4;8,00
AT038035;09/06/2024;18:55;18;;Alto da Colina;Interzone;Taxi 1 - 4 Pax;2;2;0;Alto da Colina;37.0941384, -8.209068499999999;Old Town - Albufeira;37.091608, -8.254527;00:07;4;8,00
AT038036;09/06/2024;19:04;19;;Alfagar Rece??o;Interzone;Taxi 1 - 4 Pax;4;0;0;Alfagar;37.0903633, -8.2093686;Olhos de ?gua;37.1016783, -8.1846768;00:05;3;6,00
AT038039;09/06/2024;19:10;19;;Alfagar Rece??o;Interzone;Taxi 1 - 4 Pax;2;1;1;Alfagar;37.0903633, -8.2093686;Old Town - Albufeira;37.091608, -8.254527;00:07;4;8,00
AT038040;09/06/2024;19:20;19;;Alto da Colina;Interzone;Taxi 1 - 4 Pax;4;0;0;Alto da Colina;37.0941384, -8.209068499999999;Old Town - Albufeira;37.091608, -8.254527;00:07;4;8,00
AT038041;09/06/2024;19:20;19;;Alto da Colina;Interzone;Taxi 5 - 8 Pax;6;1;0;Alto da Colina;37.0941384, -8.209068499999999;Oura - New Town;37.0862392, -8.223698299999999;00:05;2;8,00
AT038042;09/06/2024;19:25;19;;Alfagar Rece??o;Interzone;Taxi 1 - 4 Pax;4;0;0;Alfagar;37.0903633, -8.2093686;Oura - New Town;37.0862392, -8.223698299999999;00:05;2;6,00
AT035381;09/06/2024;19:30;19;Chegada;Alfa Tours & Transfers;Airport Transfer;Airport Transfer 1-3PAX;2;0;1;Faro Airport;;Alto da Colina;;00:35;38;55,00
AT038043;09/06/2024;19:30;19;;Alfagar Rece??o;Interzone;Taxi 5 - 8 Pax;4;3;0;Alfagar;37.0903633,-8.2093686;Oura - New Town;37.0862392,-8.223698299999999;00:05;2;8,00
AT038044;09/06/2024;19:35;19;;Alto da Colina;Interzone;Taxi 1 - 4 Pax;2;2;0;Alto da Colina;37.0941384,-8.209068499999999;Old Town - Albufeira;37.091608,-8.254527;00:07;4;8,00
AT038045;09/06/2024;19:50;19;;Alto da Colina;Interzone;Taxi 1 - 4 Pax;2;1;0;Alto da Colina;37.0941384, -8.209068499999999;Old Town - Albufeira;37.091608, -8.254527;00:07;4;8,00
AT038048;09/06/2024;19:55;19;;Alfagar Rece??o;Interzone;Taxi 1 - 4 Pax;2;2;0;Alfagar;37.0903633,-8.2093686;Old Town - Albufeira;37.091608,-8.254527;00:07;4;8,00
AT038049;09/06/2024;19:55;19;;Alfagar Rece??o;Interzone;Taxi 1 - 4 Pax;2;0;0;Alfagar;37.0903633, -8.2093686;Old Town - Albufeira;37.091608, -8.254527;00:07;4;8,00
AT038046;09/06/2024;19:55;19;;Alfagar Rece??o;Interzone;Taxi 1 - 4 Pax;4;0;0;Alfagar;37.0903633,-8.2093686;Old Town - Albufeira;37.091608,-8.254527;00:07;4;8,00
